Lat	Long	CentroidSize	LogCentroidSize	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	APE	AAE	AWB
-11.77	-75.52	21.603359	3.072849	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-11.77	-75.52	21.382574	3.062576	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-16.95	-70.98	20.635509	3.027013	122	161	79	1228	215	13	202	135	115	136	104	87	30	0	143	80	0	63	1	1187	234	-1164
-11.77	-75.52	22.083800	3.094844	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-11.77	-75.52	19.216858	2.955788	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-11.77	-75.52	21.267927	3.057200	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-12.02	-77.02	19.755014	2.983407	188	88	53	2757	283	118	165	158	222	226	156	12	2	0	41	6	1	2	6	0	0	0
-16.95	-70.98	21.451407	3.065790	122	161	79	1228	215	13	202	135	115	136	104	87	30	0	143	80	0	63	1	1187	234	-1164
-16.95	-70.98	20.138032	3.002610	122	161	79	1228	215	13	202	135	115	136	104	87	30	0	143	80	0	63	1	1187	234	-1164
-16.95	-70.98	19.034979	2.946278	122	161	79	1228	215	13	202	135	115	136	104	87	30	0	143	80	0	63	1	1187	234	-1164
-16.95	-70.98	18.411577	2.912980	122	161	79	1228	215	13	202	135	115	136	104	87	30	0	143	80	0	63	1	1187	234	-1164
-53.78	-67.77	23.489069	3.156535	55	79	45	3468	151	-21	172	27	38	99	11	328	36	16	23	101	53	91	76	0	0	0
-53.78	-67.77	22.223015	3.101128	55	79	45	3468	151	-21	172	27	38	99	11	328	36	16	23	101	53	91	76	0	0	0
-23.17	-65.33	20.359009	3.013524	114	181	61	4019	244	-52	296	155	58	155	56	191	51	0	114	135	2	135	3	1311	566	-1288
-52.3	-68.4	21.658338	3.075391	65	72	47	3041	150	-3	153	95	44	103	26	257	33	12	25	83	44	79	58	0	0	0
-45.58	-69.08	21.891466	3.086097	108	113	47	4799	239	-1	240	50	168	168	44	143	20	7	34	54	23	23	47	467	203	-284
-53.78	-67.77	24.514182	3.199252	55	79	45	3468	151	-21	172	27	38	99	11	328	36	16	23	101	53	91	76	0	0	0
-45.58	-69.08	21.275551	3.057559	108	113	47	4799	239	-1	240	50	168	168	44	143	20	7	34	54	23	23	47	467	203	-284
-23.17	-66.08	19.586652	2.974848	63	189	63	3922	195	-101	296	103	10	103	6	133	42	0	117	100	1	100	2	1237	401	-1214
-46.57	-71.59	22.344777	3.106593	86	92	44	4315	193	-14	207	32	138	138	28	295	50	8	62	138	27	27	128	377	400	1028
-46.48	-70.05	20.965899	3.042897	110	109	45	5030	239	-1	240	111	141	173	45	195	29	9	32	68	33	35	52	481	295	-139
-45.74	-68.49	22.447301	3.111170	107	111	46	4772	238	0	238	49	167	167	44	161	23	8	34	61	27	27	53	460	197	-240
-54.53	-66.3	22.248103	3.102257	55	80	50	2988	141	-17	158	89	37	93	16	437	47	24	21	131	79	130	96	305	340	296
-49.22	-67.77	22.390685	3.108645	94	107	47	4462	219	-8	227	38	97	148	37	243	29	15	22	81	46	63	70	683	0	0
